city,district,rooms,area,price
Almaty,Наурызбайский р-н,2,70.2,50500000
Almaty,Бостандыкский р-н,3,103.0,85000000
Almaty,Алмалинский р-н,2,43.0,48000000
Almaty,Наурызбайский р-н,2,58.1,48500000
Almaty,Ауэзовский р-н,1,44.71,29700000
Almaty,Ауэзовский р-н,3,58.0,34500000
Almaty,Бостандыкский р-н,2,51.9,50000000
Almaty,Алатауский р-н,3,67.65,47625600
Almaty,Бостандыкский р-н,4,170.87,324501120
Almaty,Бостандыкский р-н,3,70.0,65000000
Almaty,Алатауский р-н,3,71.0,40000000
Almaty,Ауэзовский р-н,2,39.02,37500000
Almaty,Алмалинский р-н,2,55.5,32500000
Almaty,Медеуский р-н,1,43.0,28500000
Almaty,Медеуский р-н,4,149.2,240958000
Almaty,Бостандыкский р-н,2,52.7,36000000
Almaty,Наурызбайский р-н,1,34.5,21500000
Almaty,Жетысуский р-н,3,75.0,43000000
Almaty,Бостандыкский р-н,3,62.95,65000000
Almaty,Unknown,2,52.0,28548000
Almaty,Алмалинский р-н,2,45.12,28000000
Almaty,Бостандыкский р-н,4,150.0,120000000
Almaty,Жетысуский р-н,2,63.4,34500000
Almaty,Турксибский р-н,3,68.82,37988640
Almaty,Медеуский р-н,3,128.8,130088000
Almaty,Турксибский р-н,3,82.11,31612350
Almaty,Наурызбайский р-н,1,32.8,24000000
Almaty,Турксибский р-н,1,32.56,18000000
Almaty,Алмалинский р-н,2,52.5,38000000
Almaty,Наурызбайский р-н,2,78.0,35500000
Almaty,Бостандыкский р-н,2,43.0,30000000
Almaty,Бостандыкский р-н,2,52.7,35000000
Almaty,Наурызбайский р-н,2,53.8,31000000
Almaty,Unknown,3,93.6,47970000
Almaty,Турксибский р-н,3,90.65,53664800
Almaty,Медеуский р-н,3,100.6,115690000
Almaty,Турксибский р-н,1,40.0,20500000
Almaty,Бостандыкский р-н,1,52.0,41500000
Almaty,Турксибский р-н,2,57.0,44000000
Almaty,Алатауский р-н,1,30.0,19000000
Almaty,Ауэзовский р-н,1,45.0,33170000
Almaty,Ауэзовский р-н,3,60.0,51000000
Almaty,Алатауский р-н,3,64.1,38500000
Almaty,Ауэзовский р-н,2,44.0,25400000
Almaty,Бостандыкский р-н,3,119.0,124600000
Almaty,Алмалинский р-н,3,71.0,70000000
Almaty,Ауэзовский р-н,2,48.0,26000000
Almaty,Ауэзовский р-н,3,60.0,32000000
Almaty,Медеуский р-н,3,108.02,81015000
Almaty,Алатауский р-н,1,43.48,34349200
Almaty,Жетысуский р-н,4,108.2,73359600
Almaty,Наурызбайский р-н,4,167.02,225477000
Almaty,Медеуский р-н,4,134.97,220303800
Almaty,Бостандыкский р-н,1,38.0,33500000
Almaty,Бостандыкский р-н,4,85.9,69000000
Almaty,Бостандыкский р-н,1,52.0,40500000
Almaty,Бостандыкский р-н,4,85.9,69000000
Almaty,Бостандыкский р-н,1,52.0,40500000
Almaty,Алатауский р-н,1,48.0,23499999
Almaty,Ауэзовский р-н,2,70.4,52000000
Almaty,Медеуский р-н,4,74.0,52000000
Almaty,Турксибский р-н,2,61.1,34000000
Almaty,Алатауский р-н,2,64.7,35000000
Almaty,Ауэзовский р-н,2,70.0,44950000
Almaty,Бостандыкский р-н,2,55.0,45500000
Almaty,Наурызбайский р-н,2,48.1,38961000
Almaty,Бостандыкский р-н,2,50.0,34500000
